songname,genre,tempo,beats,chromagram_stft,chromagram_cqt,rmse,spectral_cent,spectral_bw,spectral_rolloff,zero_crossing,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
2,4,161.4990234375,50909,0.39690538745334225,0.56665334471189144,0.145191,3037.6464837238873,2690.1178395145885,6214.6809076357958,0.16371983322037181,-67.385072325444796,65.15502824217387,-10.668462992260199,12.176494888265893,-3.3033353996283892,9.9165201159560592,-1.9854890639070097,5.4147331152223517,-6.1617711610737222,1.0910599385867825,-10.330374417786151,3.4069048344383441,-3.0141354408087397,8.1963577718015213,-3.3061164757575203,1.2535675560118016,-8.4815061459270158,-2.0412481184054192,-2.9461694516079113,0.093847724080536349
3,4,86.1328125,26775,0.41086856151608553,0.57209384691195508,0.117913,2808.4363255404105,2593.8380509886529,5780.8067109193598,0.14808035930243807,-97.916656406448212,72.871401033368386,-3.9900152384067344,30.04280339376945,5.1331033481638757,12.521744540636981,-4.3869227104564725,7.0307668393134657,-8.2280708220830032,7.2291483535207561,-6.935177930832185,0.71376644145928836,-3.8141719622008337,1.0144204457189991,-4.4496058125166087,1.2831476780603435,-3.2652731645565467,2.3333360136366137,-9.2582335684024155,-2.2718501777755522
140,3,107.666015625,32545,0.29509485464961099,0.39835264421773603,0.0692164,1746.2711250402681,2484.4614686900204,3863.0583085725698,0.044345090409566225,-278.57702340639111,101.53194245738905,36.426352522639995,35.590136590016421,26.103895976679556,11.712885612779074,10.153168611448015,5.5543968476655197,0.69138167894936986,7.023091106886179,-4.7808528561342563,-1.6142627772070839,-6.8370758940548662,2.880230482153515,-8.2713499621903424,1.2388065910224739,-5.206713854635864,-0.75446404255705046,-6.3199532141197938,-1.1724488633116747
148,6,117.45383522727273,20944,0.33213804877300684,0.37755401674897804,0.478672,1707.1703716177412,1878.7800975846678,3543.2460415557225,0.090189820754260269,7.7062481713765232,126.73548028469719,-28.739790769791934,31.717695189780091,11.850337049303439,12.922719271985239,-2.3229068009625009,14.692398677789933,-1.1130069484162186,8.8870384298860277,-0.55576203765243992,7.1650550920364315,-0.23856456919476238,10.88509342157932,5.9951655233829708,6.3193755742728071,-1.1966751413664787,8.3799172157799813,8.2243233235178899,4.8617007063961344
198,3,107.666015625,33366,0.34120082498726162,0.45164010932686643,0.120048,1782.3737476703188,1910.1465321064341,3665.4815792021691,0.086512015274012394,-127.86453932900605,107.65070747439374,-28.469959942997736,39.069062889017729,-11.616703388005027,-1.4174029658455329,-19.501884001346916,-2.2719755163247415,-13.784343822084741,-4.6136883910689042,-20.061572719847749,-11.128858991883176,-6.8792520774131622,-3.4670175334891868,-10.254684884851738,-4.3196753124399443,-10.140190343398885,-5.6366749243715981,-8.475469858530122,-2.9764423364695416
203,3,123.046875,38581,0.18938642708961442,0.35436633890126712,0.0877401,1347.9330446415545,1716.0958773842674,2448.8055642125773,0.052505552260844308,-267.28264961224755,123.82618395564677,1.8667649725209892,13.298096549522434,-19.514131388695876,-17.473371668194961,-21.413489191273975,-13.964805223479573,-23.469083209828952,-12.944864657785756,-18.568333146645834,-13.245203996435873,-3.0033898619373329,3.1745807289601866,2.365425699037274,3.05460220437676,-1.9591871081135146,-1.851664560536693,-0.5857955863890657,2.141534173568564
204,3,107.666015625,32986,0.26670362869999614,0.44029893133039116,0.117255,1765.9375128741851,1936.5317054105328,3310.2754647560032,0.080617465869481028,-164.29419629678591,121.98809924011034,-15.698278518649735,17.677969576656153,6.7904762192756492,0.86837578111574687,-14.776508892487527,-8.7350079658417936,-16.317799540640618,-4.7513972871569683,-15.684650518709431,-2.0652456590555501,-13.528093053888107,-7.0259404413239572,-2.7766199498172832,-8.8276875601973099,-0.52017021787020734,2.3201163069332065,-0.3086062075715108,0.0098408120373522957
207,3,123.046875,38172,0.2083421824369712,0.35128475127792502,0.0476794,1244.5084344875688,1475.3883390953335,2234.4576220287086,0.061160725091982962,-371.14377360564151,101.11750141537892,1.7429385926314405,10.081155434634708,-7.3829363142599549,-8.9231841576867836,-9.5280556676991193,-5.6241689202109528,-7.5793860832374556,-3.3457584135371783,-2.4084090276670533,-3.9890770676089624,-4.1543730735114801,-5.3557090780554768,-7.097114089537623,-4.9072207201500957,-5.4572196076422692,-5.8900312290426262,-8.3588366115462129,-4.7598390086981857
212,3,99.38401442307692,29678,0.3329069194941392,0.45210807304112366,0.111163,2331.8558847810787,2627.1102866053661,5291.8972544297058,0.10564764777788536,-110.67538754086864,103.56945816062768,10.576303580558198,16.412724776012002,11.79983818820523,3.5950891941539882,-1.3705412461916473,2.3666715628747235,-10.0591156686032,0.01660725386703054,-4.8592250391324097,3.0381623259890995,-2.7567590413123235,0.22230465152083748,0.28120443435377257,2.9049421536895808,-2.0391261864201353,4.1708247550513278,0.61670128767418875,3.2121829155583583
535,3,103.359375,31024,0.2881104889103126,0.50835414019081426,0.102448,1137.2545124162436,1587.8715432433503,2245.2280900795763,0.046963434839396287,-225.21621510248309,149.06423807443934,12.982372642571772,51.801525163200559,-10.960802880828131,-3.2848805350500387,15.996585952420757,-12.633606046980587,-12.115534813484143,-0.44873613538941898,-1.7790286430785456,-4.0281694832921175,-11.896528461392345,-0.017297507000781958,-8.5706708351398486,-4.4977854814894407,-3.3087773468131965,-2.5823440064807084,-0.84107410918291492,-0.022238755320175614
