songname,tempo,beats,chromagram_stft,chromagram_cqt,rmse,spectral_cent,spectral_bw,spectral_rolloff,zero_crossing,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
10,112.34714673913044,34974,0.3979852322338544,0.62071699667165769,0.188286,2350.7117958116096,2049.9518058094136,4312.02392578125,0.14892049027670279,-17.617798776093913,94.654929498599245,-48.682530599509761,32.244404671080858,-4.2859178035736507,1.8496592123491311,-1.9847894484394055,2.5377468613861422,-5.4205431831852255,0.84679352519770312,-9.6236776461142242,2.5874197482820049,-6.5321210566545815,2.501076892938332,-4.7802360233760197,-1.3175562802008343,-2.8266288261427621,2.9338712807669691,-1.1867083992344831,4.251251155213768
141,103.359375,31837,0.26204606479401304,0.42087772864200129,0.101356,1654.240256524366,2036.5254232391051,3315.6629354061774,0.061876694422927959,-208.56957165296993,116.63459697630313,-1.7240508362303943,26.018795804096243,9.688162762513242,-4.1796185037559539,7.2348556277077289,-5.1193346697899296,-0.05154008312707048,2.2230107475350946,-3.3271256203134656,-3.3965887207358088,-4.8105209500015906,3.1306217109598791,-2.1266312902974596,5.0540611299027551,-0.16965878571742363,3.0877978109988646,-8.66561929541996,-1.0983051047097669
190,99.38401442307692,32062,0.24496696255482073,0.40389165044390701,0.13298,1899.9205582503189,2019.0282135474295,3715.0775354344041,0.088392889536571206,-139.90838885942577,97.182366550677017,-23.465509369746727,26.178777138061264,-8.0427008438417182,-3.1997848947063159,-22.362818693068146,-6.4582775339269096,-20.432672973371172,-5.4972198606814846,-16.557026704824953,-4.7568001976038863,-8.7153303132070956,-6.1312125380492244,-8.1634441378768674,-8.739533880481579,-9.1754882238577231,-2.0001374827689595,-6.3025895697995873,-8.0474423783163189
193,95.703125,28646,0.33568088576186689,0.45987973051482972,0.0833253,1584.3128610625852,1754.518587441263,3207.3797791803836,0.07735078488090627,-198.29648030858567,120.71211399852706,-29.785353298674174,35.787534337477346,-10.453663846850398,5.317855577360354,-13.976368949234091,-5.2284170918653139,-16.385789891050393,-7.7915239780867704,-11.734615039862758,-4.999176407357834,-7.8493389125827404,-7.0918057478329297,-13.875961800901054,-8.4717704201958401,-10.473596237501452,-8.7105007145920279,-9.4561136526667919,-9.7703290452305804
194,103.359375,32113,0.30724222742029739,0.44660456007114424,0.096473,1546.779399667287,1760.7619181790267,3087.247998500387,0.072886180582430335,-184.89241788509045,119.17539213394382,-26.938149079185767,29.491635531700688,-8.5565614866890769,4.0126618624876196,-12.654693549806229,-1.4344962234664853,-17.048141215373768,-5.5648223071037712,-13.380764636488232,-2.4452100772112511,-8.8184679185916899,-9.3254250087361772,-9.184675135487895,-5.5206061712737187,-10.009364463070872,-6.6894937356085222,-8.2799382859080968,-6.850168581456292
210,95.703125,30703,0.32114082046158271,0.44632537155998714,0.14654,1822.6930599449493,1972.7009682365422,3564.1451147687694,0.08504294758610681,-104.43072369274714,109.6586680588677,-31.568430723411563,18.924793530593377,-6.2425375284286053,-0.33791398010399165,-13.92619623006701,-0.0038604808354567107,-17.724306522619525,-5.4341933670815221,-15.626548881173802,-1.2026186071534772,-11.035830130159191,-12.313343042709011,-10.707432424219579,-7.8069391969475896,-5.1878673122803791,-1.1755637361756388,-10.76565132101091,-2.8408050988880911
211,99.38401442307692,29465,0.29653436599375177,0.45984036367198755,0.138345,1594.6420133289282,1738.9584139746273,3094.3930108079976,0.078636352633617346,-129.5008272141508,126.48132726666024,-35.115199807124128,23.268776284954562,-13.484467702715268,-4.8215385552030758,-16.306667546756291,-10.021603220403076,-21.416320875039386,-10.779373483702507,-14.705179222554573,-6.7495442681021567,-8.7768910680395358,-9.6922600746448264,-5.5372208546984343,-6.4230567793184949,-7.1654212883964901,-2.5253939164437349,-4.339280603225979,-2.9687285584513794
213,143.5546875,40711,0.28185503624343683,0.51729785399877015,0.0682685,1131.684162042493,1447.3650582530452,2116.1167419575427,0.054031667554221535,-264.02379206350719,160.38812446445334,0.49872650240916822,15.058807772916387,12.011023577926734,-8.9550849707750046,-10.786148882770185,0.96088344861210817,-8.2298145434267305,-9.3050819017534252,-11.674649118684512,-5.3679210804211888,-4.4919124401579591,-11.134474206482414,-18.520201545445097,-2.5832553590449234,-4.883878500423207,1.3718144593554276,4.4273429233454165,-3.5847620613309763
400,161.4990234375,46146,0.33448200018790103,0.58303409819386975,0.208355,752.87717375727414,857.66950839076492,1197.1760941732778,0.05189046475909443,-199.55895295318163,217.20316005722231,-9.5892109612818768,17.871509178181391,1.4611606973276707,-14.861148681588011,-14.085590139951531,-5.825236549140568,-5.950070549217755,-6.0067682525287927,0.22168099221566245,0.63773081258616027,-0.69225491336389555,-1.8628546413785723,2.912852751331819,2.5776734185513961,0.83626097579224634,-1.0866709403550341,-4.056243435676226,-1.8908782112573932
425,95.703125,24849,0.34848017817311233,0.35717260154018848,0.0366112,1151.2295065493086,1477.990948093704,2108.6039162272641,0.059893061871130034,-277.06489329693642,174.89830482696573,-22.894388605856829,16.769436287647302,-11.114368632872683,-10.491498119266492,25.235386846047245,7.5781492373627302,1.7661487920087355,4.6819542980285096,-19.815089819090506,20.630242784907633,1.403978446448757,11.652123806901116,-9.3979392722085411,-5.4142117564400882,-7.2580149917788415,-6.5320926852736116,0.58343122179234419,12.938101301862963
534,151.99908088235293,45150,0.29265284639950245,0.47084553357163367,0.0878255,1003.8459956105334,1582.7674183310726,1768.7143048265771,0.040748052921826629,-260.63695856839661,151.3116083515132,33.416260429175736,54.195020797795813,-12.267170301100778,2.6157593206648144,13.014184365331413,-16.848534931809979,-6.059041052038757,0.70127322554047189,-6.7868596319229662,-3.3968453572912969,-8.984833478405287,5.2389068983670377,-1.2469905979892555,-0.46205394502664071,-0.42887877724071949,-4.2676179178279252,-2.722570290015204,0.40982522046122627
536,135.99917763157896,38802,0.30910157590144449,0.52123149781317002,0.116903,1325.3757442129506,1634.0780905135539,2783.7331671463817,0.061445962533862232,-189.41258244415724,145.27342059946508,-4.2676549198549347,56.979105878877178,-10.271748516396093,-0.37896424646585591,21.132142287860542,-14.016576481352294,-17.03510627757262,0.05742514988667384,-4.3847353517028056,-3.750774187165252,-9.2280046677773466,-1.337130956382161,-13.656899680763354,-3.1812503089338295,-4.304759156365277,-1.3906303167218055,1.4992280043983532,1.5929504938002876
540,143.5546875,40545,0.26675718304133461,0.46782599479103065,0.0935276,1379.4660184329482,1693.7384655796061,2910.6990660676279,0.061073704769736843,-206.50483037428396,138.76443303588141,-4.7964730262116344,55.914844258376569,-7.2564156112336997,-2.5818242134637299,13.724375468920396,-10.885900639674674,-17.438390017260367,0.19735905459870087,0.1965896854776302,-0.70416520594741416,-11.749373607959381,-0.77048548374992876,-10.288481411306334,-3.0958330643177296,-4.7945423059197108,-2.2716950464028276,0.037459019235921952,0.84789070739620265
546,103.359375,32629,0.29008251268282031,0.50789519066951339,0.0854492,1270.8643176789458,1600.9594405211526,2576.0510896381579,0.05652913663409443,-223.38051763255237,148.20026044429758,-0.43595234738129374,52.9886676919864,-16.593484581026477,-2.171332781896631,16.905225655069845,-4.6490530707108535,-14.842452401612324,-1.369395748170267,-3.533478617587599,4.2328153182806574,-12.170549563275793,-2.9658228752051472,-4.7244109653095414,-5.3217670087122322,-0.66707814772580543,-1.7592038773252892,0.50828017294802874,-0.71649018131671716
602,151.99908088235293,40674,0.23865441047604782,0.40762926566904428,0.0445356,771.18034461045102,1247.0653884925184,1107.5516361201142,0.035003567627708981,-400.25449365594244,171.46184465038968,25.593664616071315,21.8119425445649,19.925721394378296,4.445107513087259,-0.87094931166716949,-8.2112084358227317,-16.948069109351113,-14.781857917611735,-14.838236815580199,-15.866953108362935,-11.008521501228737,-5.5018649450893307,-10.109147430779691,-4.4668828015430941,-5.3838305012404604,-3.4699689086722549,-2.6306779493045584,3.5788148503888455
605,151.99908088235293,19810,0.44292717788925101,0.64581790128117322,0.180885,2734.9692910882131,2345.5837949430793,5258.3515368009867,0.16958325270897834,-16.508354522552516,72.464594173970411,-33.148033323091113,28.664887156406103,3.9056197956362988,10.629989305444701,-6.8617627133958408,4.9440416069904982,-10.639942258946263,10.072160104730264,-3.7703396910427132,-1.43500790682625,-8.3202077177231821,5.7454047916870676,-6.4065956273560332,-6.2780213534605789,-8.8061536430809717,2.0579162659774366,-5.2250661270315639,0.83440464884010934
619,89.102909482758619,24790,0.30177089932553741,0.4784408620031938,0.0890198,1797.5245048652437,1832.6719165085692,3431.9875805739648,0.089001351465750778,-165.00963554399084,118.29222677248012,-35.923292165821351,23.206406774865382,-12.487852192833655,-9.9043777364151548,-27.627597031051042,0.82190057075528666,-16.452523702492122,-9.2445255608756334,-13.057271774518821,-7.9345827742529487,-4.5487556810656686,-6.9456709329170456,-12.171516406359251,-6.7739731146871351,-7.8492796495412609,-3.9088570239485776,-7.0108505389239815,-5.3993826937456708
